feature,count,mean,std,min,25%,50%,75%,max
mfcc_d1_14_std,720.0,1.6427997006944446,0.22733965356082927,0.9792231,1.54881965,1.6656461,1.7777675499999999,2.3134396
mfcc_d1_15_std,720.0,1.5542222660694442,0.2651215880280442,0.9355764,1.3803976,1.51538015,1.7392447,2.6234062
mfcc_d1_16_std,720.0,1.4330611821666666,0.18768706158226311,0.9542044,1.292471275,1.4228291,1.559718525,1.9941181
mfcc_d1_17_std,720.0,1.4212442809166668,0.2000232040148638,0.9210356,1.28794375,1.3911935500000001,1.522210275,2.2044082
mfcc_d1_18_std,720.0,1.3486629933055556,0.1920600967766895,0.9280431,1.209201075,1.31745,1.4832152,1.8913954
mfcc_d1_19_std,720.0,1.3877600043194442,0.24314532406333106,0.880553,1.235816025,1.36813005,1.5185347500000002,2.2627926
mfcc_d1_20_std,720.0,1.328530645236111,0.2742053239470504,0.788055,1.1400220749999999,1.2898622,1.497631325,2.1406498
mfcc_d2_1_mean,720.0,-0.0071710288886939495,0.04023827720342615,-0.14859064,-0.020944058499999998,-0.00019621247,0.011618214750000001,0.16130412
mfcc_d2_2_mean,720.0,-0.0017377273016789116,0.0165936067942852,-0.060347375,-0.009851215,-4.1848415e-05,0.005760757275,0.063458495
mfcc_d2_3_mean,720.0,0.000265843584825124,0.009734140835435204,-0.047261823,-0.0046776718,-0.00019268913,0.0044200064500000006,0.036740534
mfcc_d2_4_mean,720.0,-0.0008575124763075408,0.008573695796647606,-0.03765349,-0.004109620600000001,-0.00015727729000000003,0.0032524241,0.03476769
mfcc_d2_5_mean,720.0,2.396407213695344e-05,0.0059710211135334266,-0.026693001,-0.0026549233750000002,-5.7209485e-05,0.0024415837500000002,0.029170517
mfcc_d2_6_mean,720.0,0.00042160931708412527,0.004928964638332539,-0.014006763,-0.0018880212750000001,1.6982759e-05,0.0024665888,0.02672259
mfcc_d2_7_mean,720.0,0.0004607587925794476,0.0043893955372880464,-0.012049711,-0.002054815525,7.791431999999999e-09,0.0024828179499999997,0.023276359
mfcc_d2_8_mean,720.0,0.00050915363855482,0.0049973895734167295,-0.015239487,-0.001914452525,-1.4728651e-05,0.00222162455,0.030310662
mfcc_d2_9_mean,720.0,0.00023732655720285563,0.004096805594079352,-0.018908676,-0.001792282825,-1.8227264589e-06,0.00202692145,0.01957251
mfcc_d2_10_mean,720.0,0.00040880823612768764,0.004011086497536471,-0.012141627,-0.001707488675,3.2102722e-05,0.002124964975,0.020208824
mfcc_d2_11_mean,720.0,0.00028631014450043567,0.0036469819872723282,-0.016500188,-0.0017035333,4.5679015e-05,0.0019262968,0.018697439
mfcc_d2_12_mean,720.0,0.0003152720808774707,0.003200190060801416,-0.013683497,-0.001179581575,0.000104323778,0.001890416325,0.014791769
mfcc_d2_13_mean,720.0,0.0003948858460408868,0.0030700158674846797,-0.010638179,-0.00120698365,0.00017808218000000002,0.0018612279,0.013586845
mfcc_d2_14_mean,720.0,4.85916577852362e-05,0.0027955285490879494,-0.008843084,-0.0013436442250000001,-1.95865070625e-06,0.0013869746750000001,0.011678141
mfcc_d2_15_mean,720.0,0.00026216099180054647,0.0028822041667157018,-0.009135443,-0.001264016375,5.907981599999999e-10,0.001532447125,0.014561321
mfcc_d2_16_mean,720.0,0.00040796185018296654,0.002490993555208216,-0.007914722,-0.000841476175,0.00022905362000000002,0.001615164025,0.011420938
mfcc_d2_17_mean,720.0,0.00016665412889687957,0.0025739889797733104,-0.0121221645,-0.001205760525,9.0619644e-05,0.001527920975,0.012489275
mfcc_d2_18_mean,720.0,0.0002649013462451231,0.0023858559166425944,-0.007367384,-0.000944683675,3.3469272e-09,0.001600389075,0.010077226
mfcc_d2_19_mean,720.0,0.0003469558526846447,0.0024987873254270934,-0.010817609,-0.00090914364,0.00011984787499999999,0.001673379225,0.0096793715
mfcc_d2_20_mean,720.0,0.00013270551416368813,0.0024973567874884994,-0.020811334,-0.0010465735499999998,6.76480075e-05,0.001300603575,0.009573261
mfcc_d2_1_std,720.0,10.908284768472223,1.5135084131830612,7.5539556,9.78377875,10.671102000000001,12.09238625,14.807758
mfcc_d2_2_std,720.0,6.760834669305556,0.683745419275,4.695715,6.314032725000001,6.77211715,7.198510475,8.687932
mfcc_d2_3_std,720.0,4.0965486561111115,0.6562525125843526,2.4972312,3.6069724499999998,4.07672315,4.49045725,5.81352
mfcc_d2_4_std,720.0,3.4181755106944447,0.5004846419576022,2.4082942,3.04654955,3.3168653,3.800094275,4.8947315
